2015,Buenos Aires Steakhouse,189 Lygon Street
2015,Bull And Bear Tavern,341-347 Flinders Lane
2015,Bullet Cafe,589-603 Bourke Street
2015,Bullrun,107-109 Flinders Lane
2015,Burger Club Cafe,37-43 Caravel Lane
2015,Burger Edge Collins Place,45 Collins Street
2015,Burger Edge,184 King Street
2015,Burger Edge,519-539 St Kilda Road
2015,Burger Edge,840-850 Collins Street
2015,Burger Monster,23-37 Star Crescent
2015,Burma Lane,111-129 Bourke Street
2015,By Korea ,212-222 La Trobe Street
2015,Byblos Bar & Restaurant,18-38 Siddeley Street
2015,CBD Bakery,480 Bourke Street
2015,CJ Lunchbar ,391-393 Little Lonsdale Street
2015,CQ Bar,111-129 Queen Street
2015,CY Sushi & Noodle,471 Elizabeth Street
2015,Ca De Vin,338-352 Bourke Street
2015,Caboose Canteen,199-209 Collins Street
2015,Cacao Green,235-251 Bourke Street
2015,Cacao Green,281-287 Swanston Street
2015,Cacao Lab,222-260 Elizabeth Street
2015,Cafe 201,199-207 Spring Street
2015,Cafe 34,28-38 Queen Street
2015,Cafe 409,409-413 St Kilda Road
2015,Cafe 417,415-417 Collins Street
2015,Cafe 555,555 La Trobe Street
2015,Cafe 60,56-64 Collins Street
2015,Cafe 6six 5fifty 5five,655-657 Spencer Street
2015,Cafe 99,98-166 Macaulay Road
2015,Cafe Alcaston,2 Collins Street
2015,Cafe Andiamo,253-265 Flinders Lane
2015,Cafe Arrow,470-496 Swanston Street
2015,Cafe Baci's,8 Whiteman Street
2015,Cafe Bakpak,167-175 Franklin Street
2015,Cafe Bar Mile,302-308 Flinders Lane
2015,Cafe Bisqui ,130-132 Flinders Street
2015,Cafe Bourgeois,380-394 Docklands Drive
2015,Cafe Caledonia,123-129 Lonsdale Street
2015,Cafe Cavallino,177-183 Lygon Street
2015,Cafe Cavallino,185-187 Lygon Street
2015,Cafe Cavallino,242-284 Exhibition Street
2015,Cafe Chinotto,2 Swanston Street
2015,Cafe Clicquot,80 Dorcas Street
2015,Cafe Corretto,225-229 Lygon Street
2015,Cafe De Kikaku,2-24 Waterview Walk
2015,Cafe De Tuscany,429 Little Collins Street
2015,Cafe Del Corso,353-355 Flinders Lane
2015,Cafe Domain,161-173 Domain Road
2015,Cafe Dominoes,525-539 Lonsdale Street
2015,Cafe Ecco,6-8 Nicholson Street
2015,Cafe Ella,553 St Kilda Road
2015,Cafe Eurasia ,582-606 Collins Street
2015,Cafe Euro Food & Wine Bar,486-492 Bourke Street
2015,Cafe Excello ,93-101 Spring Street
2015,Cafe Felice,457-471 Bourke Street
2015,Cafe Giraffe,302-304 Little Lonsdale Street
2015,Cafe Gruppo ,791-847 Collins Street
2015,Cafe Innov-8,11-41 Melrose Street
2015,Cafe Insieme,304-306 Little Collins Street
2015,Cafe Intimo,435-443 Little Collins Street
2015,Cafe Italia,195-199 Faraday Street
2015,Cafe Keyif,550-554 Flinders Street
2015,Cafe Kinetic,103-105 Flinders Lane
2015,Cafe La Colline ,519-539 St Kilda Road
2015,Cafe La Kiss,2-48 Harbour Esplanade
2015,Cafe Lansdowne,23 Lansdowne Street
2015,Cafe Le Petite Bourke Patisserie ,24-38 Little Bourke Street
2015,Cafe Lua,161-169 Elgin Street
2015,Cafe Mesh,351-357 Collins Street
2015,Cafe No 2,476-602 Footscray Road
2015,Cafe Nostimo,378-392 La Trobe Street
2015,Cafe Notturno,177-183 Lygon Street
2015,Cafe On Bourke,40-50 Bourke Street
2015,Cafe On Collins,303-317 Collins Street
2015,Cafe On Flinders,228-236 Flinders Street
2015,Cafe On Rankins ,169-173 Rankins Road
2015,Cafe Port IT ,49-89 Turner Street
2015,Cafe Promenade,435-437 St Kilda Road
2015,Cafe Rosco,407B-407D St Kilda Road
2015,Cafe Royale,53 Royal Parade
2015,Cafe Salida,515 Little Bourke Street
2015,Cafe Saporo,479-495 La Trobe Street
2015,Cafe Saporo,715-727 Bourke Street
2015,Cafe Scaletti,487 Elizabeth Street
2015,Cafe Segovia,317-321 Little Collins Street
2015,Cafe Segovia,34-36 Block Place
2015,Cafe Shots Espresso Bar,224-236 Queen Street
2015,Cafe Simply T,170-190 Russell Street
2015,Cafe Sonex ,324-326 King Street
2015,Cafe Stax,16 Little La Trobe Street
2015,Cafe Tono,143-153 Russell Street
2015,Cafe Tre Sette,139-143 Bouverie Street
2015,Cafe Trevi,294-296 Lygon Street
2015,Cafe Trutrack,56-62 Leveson Street
2015,Cafe Vagabond,81-83 Flemington Road
2015,Cafe Vic,100 St Kilda Road
2015,Cafe Vicolino,258-260 Flinders Lane
2015,Cafe Victoria,507-523 Elizabeth Street
2015,Cafe Vista,163-261 Spencer Street
2015,Cafe Vue,430-436 Little Collins Street
2015,Cafe on Flinders,42-52 Market Street
2015,Cafenatics ,494-512 Bourke Street
2015,Cafenatics 367,359-373 Collins Street
2015,Cafenatics Equitable Place,308-336 Collins Street
2015,Cafenatics Forte,807-811 Bourke Street
2015,Cafenatics On Church ,500-514 Collins Street
2015,Cafenatics QV,221 Little Lonsdale Street
2015,Cafenatics on Flinders,381-387 Flinders Lane
2015,Cafenatics,162-168 Collins Street
2015,Cafenatics,410-420 La Trobe Street
2015,Cafenatics,737-743 Bourke Street
2015,Cafenatics,990 La Trobe Street
2015,Cafeteria Lounge,455-457 St Kilda Road
2015,Caffe Bambino,813-817 Bourke Street
2015,Caffe Cino,2 Convention Centre Place
2015,Caffe Duomo,96-102 Elizabeth Street
2015,Caffe E Biscotti,317-321 Little Collins Street
2015,Caffe E Torta,331-339 Bourke Street
2015,Caffe Esc,791-847 Collins Street
